,age,male,educ,hhsize,hhveh,hhinc,auto_time,auto_cost,train_time,train_cost,active_time,mode
0,50,0,5,1,1,10,9.283333333333333,5.135666666666667,19.933333333333334,2.2666666666666666,26.316666666666666,0
1,50,0,5,1,1,10,4.6,6.572333333333333,17.2,2.4833333333333334,12.058333333333334,0
2,50,0,5,1,1,10,11.65,11.246666666666666,33.38333333333333,2.3333333333333335,85.05,0
3,30,0,5,1,0,6,9.95,5.995666666666667,34.833333333333336,2.341666666666667,35.358333333333334,0
4,30,0,5,1,0,6,5.233333333333333,6.572333333333334,12.966666666666667,2.408333333333333,9.783333333333333,1
5,30,0,5,1,0,6,2.216666666666667,6.572333333333334,3.183333333333333,2.408333333333333,2.8166666666666664,2
6,30,0,5,1,0,6,7.15,6.622333333333333,11.516666666666667,2.408333333333333,12.266666666666667,2
7,30,0,5,1,0,6,4.65,6.572333333333334,10.633333333333333,2.408333333333333,7.433333333333334,2
8,30,0,5,1,0,6,7.616666666666666,6.572333333333334,15.933333333333334,2.4833333333333334,12.066666666666666,2
9,30,0,5,1,0,6,9.916666666666666,6.547000000000001,26.1,2.6416666666666666,44.65,0
10,30,0,5,1,0,6,11.016666666666667,5.019,28.516666666666666,2.275,23.266666666666666,1
11,30,0,5,1,0,6,4.266666666666667,6.572333333333334,10.666666666666666,2.408333333333333,7.324999999999999,2
12,30,0,5,1,0,6,4.266666666666667,6.572333333333334,13.016666666666667,2.408333333333333,8.65,0
13,30,0,5,1,0,6,2.7666666666666666,6.572333333333334,7.8,2.408333333333333,5.141666666666667,2
14,30,0,5,1,0,6,14.25,9.368333333333332,33.13333333333333,2.2416666666666667,59.958333333333336,0
15,30,0,5,1,0,6,7.55,6.622333333333333,11.983333333333333,2.408333333333333,12.3,2
16,30,0,5,1,0,6,11.533333333333333,6.093999999999999,29.5,2.375,31.575,2
17,30,0,5,1,0,6,8.333333333333334,5.097333333333333,32.28333333333333,2.058333333333333,26.433333333333334,1
18,40,1,5,4,1,8,3.7666666666666666,6.572333333333334,12.0,2.408333333333333,8.241666666666667,0
19,40,1,5,4,1,8,10.4,5.817333333333334,43.8,2.216666666666667,30.875,0
20,38,0,5,4,1,8,3.7666666666666666,6.572333333333334,12.0,2.408333333333333,8.241666666666667,2
21,14,1,1,4,1,8,9.2,5.355666666666667,22.566666666666666,2.35,22.025,0
22,14,1,1,4,1,8,2.1166666666666667,6.572333333333334,7.616666666666666,2.408333333333333,4.925,2
23,14,1,1,4,1,8,13.616666666666667,6.562333333333333,46.11666666666667,2.6666666666666665,44.975,0
24,14,1,1,4,1,8,7.966666666666667,5.600666666666667,35.333333333333336,2.1666666666666665,23.491666666666667,0
25,38,0,6,1,1,3,21.183333333333334,11.368,81.65,2.325,89.28333333333333,0
26,38,0,6,1,1,3,19.183333333333334,14.329333333333333,64.03333333333333,2.3833333333333333,114.29166666666666,0
27,38,0,6,1,1,3,15.633333333333333,10.108666666666666,51.983333333333334,2.341666666666667,88.96666666666667,0
28,38,0,6,1,1,3,12.083333333333334,5.857333333333333,38.63333333333333,2.5166666666666666,39.86666666666667,0
29,38,0,6,1,1,3,10.133333333333333,5.843999999999999,33.68333333333333,2.75,39.483333333333334,0
30,62,0,6,1,1,5,3.3,6.572333333333333,17.7,2.4833333333333334,11.083333333333332,0
31,57,1,6,3,3,10,33.45,17.68766666666667,67.1,3.0549999999999997,253.46666666666664,0
32,35,1,5,1,0,8,8.933333333333334,6.572333333333333,17.4,2.4833333333333334,13.666666666666666,2
33,50,1,4,6,3,7,36.833333333333336,17.456,199.73333333333332,3.738333333333333,288.55,0
34,59,0,4,6,3,7,6.133333333333334,5.449,53.86666666666667,2.525,34.416666666666664,0
35,59,0,4,6,3,7,7.0,5.785666666666667,50.35,2.45,32.825,0
36,59,0,4,6,3,7,12.233333333333333,9.954666666666668,111.4,2.341666666666667,84.76666666666667,0
37,59,0,4,6,3,7,51.38333333333333,16.849333333333334,138.46666666666667,3.5716666666666668,430.6166666666667,0
38,59,0,4,6,3,7,18.4,8.700000000000001,23.816666666666666,2.3333333333333335,66.39166666666667,0
39,59,0,4,6,3,7,40.7,17.722666666666665,109.8,3.1633333333333336,257.45,0
40,48,0,6,1,1,7,10.883333333333333,7.763666666666667,66.4,2.7,47.80833333333334,0
41,48,0,6,1,1,7,11.916666666666666,8.551666666666668,63.25,2.55,55.31666666666666,0
42,48,0,6,1,1,7,37.65,16.881,221.93333333333334,3.7216666666666667,317.76666666666665,0
43,46,1,5,2,4,10,6.433333333333334,5.468999999999999,37.31666666666667,2.1666666666666665,24.10833333333333,0
44,46,1,5,2,4,10,7.883333333333334,5.827333333333332,58.25,2.5416666666666665,35.375,0
45,46,1,5,2,4,10,9.783333333333333,7.6273333333333335,84.53333333333333,2.375,39.43333333333334,0
46,46,1,5,2,4,10,8.816666666666666,5.843999999999999,55.43333333333333,2.558333333333333,35.50833333333333,0
47,46,1,5,2,4,10,7.183333333333334,4.995666666666667,39.166666666666664,2.05,26.549999999999997,0
48,46,1,5,2,4,10,10.1,6.529000000000001,45.916666666666664,2.5166666666666666,43.266666666666666,0
49,46,1,5,2,4,10,5.616666666666666,5.535666666666668,37.0,2.1666666666666665,23.741666666666667,0
50,46,1,5,2,4,10,8.45,5.844000000000001,55.18333333333333,2.558333333333333,34.925,0
51,46,1,5,2,4,10,11.916666666666666,9.715,64.3,2.6083333333333334,56.35,0
52,46,1,5,2,4,10,5.616666666666666,5.535666666666668,37.0,2.1666666666666665,23.741666666666667,0
